ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2016;Acre ;1200013;ACRELANDIA;388451
2016;Acre ;1200054;ASSIS BRASIL;184125
2016;Acre ;1200104;BRASILEIA;517674
2016;Acre ;1200138;BUJARI;261773
2016;Acre ;1200179;CAPIXABA;218902
2016;Acre ;1200203;CRUZEIRO DO SUL;1750919
2016;Acre ;1200252;EPITACIOLANDIA;645596
2016;Acre ;1200302;FEIJO;610268
2016;Acre ;1200328;JORDAO;156945
2016;Acre ;1200336;MANCIO LIMA;314832
2016;Acre ;1200344;MANOEL URBANO;218105
2016;Acre ;1200351;MARECHAL THAUMATURGO;65020
2016;Acre ;1200385;PLACIDO DE CASTRO;410633
2016;Acre ;1200807;PORTO ACRE;433687
2016;Acre ;1200393;PORTO WALTER;122200
2016;Acre ;1200401;RIO BRANCO;10879311
2016;Acre ;1200427;RODRIGUES ALVES;149840
2016;Acre ;1200435;SANTA ROSA DO PURUS;25610
2016;Acre ;1200500;SENA MADUREIRA;928318
2016;Acre ;1200450;SENADOR GUIOMARD;595946
2016;Acre ;1200609;TARAUACA;658108
2016;Acre ;1200708;XAPURI;375200
2016;Alagoas ;2700102;AGUA BRANCA;142220
2016;Alagoas ;2700201;ANADIA;479998
2016;Alagoas ;2700300;ARAPIRACA;16942853
2016;Alagoas ;2700409;ATALAIA;1776788
2016;Alagoas ;2700508;BARRA DE SANTO ANTONIO;330209
2016;Alagoas ;2700607;BARRA DE SAO MIGUEL;132574
2016;Alagoas ;2700706;BATALHA;648916
2016;Alagoas ;2701001;BOCA DA MATA;499616
2016;Alagoas ;2701100;BRANQUINHA;111930
2016;Alagoas ;2701209;CACIMBINHAS;261191
2016;Alagoas ;2701308;CAJUEIRO;214852
2016;Alagoas ;2701357;CAMPESTRE;208793
2016;Alagoas ;2701407;CAMPO ALEGRE;267336
2016;Alagoas ;2701506;CAMPO GRANDE;40664
2016;Alagoas ;2701605;CANAPI;361686
2016;Alagoas ;2701704;CAPELA;213473
2016;Alagoas ;2701803;CARNEIROS;168324
2016;Alagoas ;2701902;CHA PRETA;42250
2016;Alagoas ;2702009;COITE DO NOIA;72572
2016;Alagoas ;2702108;COLONIA LEOPOLDINA;520259
2016;Alagoas ;2702207;COQUEIRO SECO;77012
2016;Alagoas ;2702306;CORURIPE;1536463
2016;Alagoas ;2702355;CRAIBAS;320606
2016;Alagoas ;2702405;DELMIRO GOUVEIA;1561232
2016;Alagoas ;2702504;DOIS RIACHOS;290537
2016;Alagoas ;2702603;FEIRA GRANDE;278330
2016;Alagoas ;2702702;FELIZ DESERTO;80249
2016;Alagoas ;2702801;FLEXEIRAS;96356
2016;Alagoas ;2702900;GIRAU DO PONCIANO;866324
2016;Alagoas ;2703007;IBATEGUARA;208520
2016;Alagoas ;2703106;IGACI;153192
2016;Alagoas ;2703205;IGREJA NOVA;8190
2016;Alagoas ;2703304;INHAPI;69743
2016;Alagoas ;2703502;JACUIPE;116493
2016;Alagoas ;2703601;JAPARATINGA;289646
2016;Alagoas ;2703759;JEQUIA DA PRAIA;238030
2016;Alagoas ;2703809;JOAQUIM GOMES;455494
2016;Alagoas ;2703908;JUNDIA;209703
2016;Alagoas ;2704005;JUNQUEIRO;107772
2016;Alagoas ;2704104;LAGOA DA CANOA;425295
2016;Alagoas ;2704203;LIMOEIRO DE ANADIA;596858
2016;Alagoas ;2704302;MACEIO;32172249
2016;Alagoas ;2704401;MAJOR ISIDORO;249522
2016;Alagoas ;2704500;MARAGOGI;707507
2016;Alagoas ;2704609;MARAVILHA;405743
2016;Alagoas ;2704708;MARECHAL DEODORO;3089283
2016;Alagoas ;2704807;MARIBONDO;176124
2016;Alagoas ;2705002;MATA GRANDE;226798
2016;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;622913
2016;Alagoas ;2705200;MESSIAS;971265
2016;Alagoas ;2705408;MONTEIROPOLIS;29250
2016;Alagoas ;2705507;MURICI;548498
2016;Alagoas ;2705606;NOVO LINO;46644
2016;Alagoas ;2705705;OLHO D'AGUA DAS FLORES;384969
2016;Alagoas ;2706000;OLIVENCA;183222
2016;Alagoas ;2706307;PALMEIRA DOS INDIOS;2665102
2016;Alagoas ;2706406;PAO DE ACUCAR;682550
2016;Alagoas ;2706422;PARICONHA;162695
2016;Alagoas ;2706448;PARIPUEIRA;39180
2016;Alagoas ;2706505;PASSO DE CAMARAGIBE;187753
2016;Alagoas ;2706703;PENEDO;1848128
2016;Alagoas ;2706802;PIACABUCU;1094100
2016;Alagoas ;2706901;PILAR;672571
2016;Alagoas ;2707107;PIRANHAS;241122
2016;Alagoas ;2707206;POCO DAS TRINCHEIRAS;119314
2016;Alagoas ;2707305;PORTO CALVO;960231
2016;Alagoas ;2707404;PORTO DE PEDRAS;66741
2016;Alagoas ;2707503;PORTO REAL DO COLEGIO;10940
2016;Alagoas ;2707602;QUEBRANGULO;26364
2016;Alagoas ;2707701;RIO LARGO;1666094
2016;Alagoas ;2707800;ROTEIRO;6751
2016;Alagoas ;2707909;SANTA LUZIA DO NORTE;34737
2016;Alagoas ;2708006;SANTANA DO IPANEMA;776370
2016;Alagoas ;2708105;SANTANA DO MUNDAU;60827
2016;Alagoas ;2708303;SAO JOSE DA LAJE;273645
2016;Alagoas ;2708402;SAO JOSE DA TAPERA;221156
2016;Alagoas ;2708501;SAO LUIS DO QUITUNDE;594134
2016;Alagoas ;2708600;SAO MIGUEL DOS CAMPOS;2024725
2016;Alagoas ;2708709;SAO MIGUEL DOS MILAGRES;281020
2016;Alagoas ;2708808;SAO SEBASTIAO;2988292
2016;Alagoas ;2708907;SATUBA;14212
2016;Alagoas ;2708956;SENADOR RUI PALMEIRA;193817
2016;Alagoas ;2709103;TAQUARANA;408038
2016;Alagoas ;2709152;TEOTONIO VILELA;767114
2016;Alagoas ;2709202;TRAIPU;571727
2016;Alagoas ;2709301;UNIAO DOS PALMARES;2162565
2016;Alagoas ;2709400;VICOSA;1156931
2016;Amazonas;1300029;ALVARAES;104850
2016;Amazonas;1300060;AMATURA;113401
2016;Amazonas;1300086;ANAMA;308546
2016;Amazonas;1300102;ANORI;173782
2016;Amazonas;1300144;APUI;231607
2016;Amazonas;1300201;ATALAIA DO NORTE;10450
2016;Amazonas;1300300;AUTAZES;536575
2016;Amazonas;1300409;BARCELOS;506146
2016;Amazonas;1300508;BARREIRINHA;297982
2016;Amazonas;1300607;BENJAMIN CONSTANT;641613
2016;Amazonas;1300631;BERURI;208877
2016;Amazonas;1300680;BOA VISTA DO RAMOS;112059
2016;Amazonas;1300706;BOCA DO ACRE;652336
2016;Amazonas;1300805;BORBA;671390
2016;Amazonas;1300839;CAAPIRANGA;31440
2016;Amazonas;1300904;CANUTAMA;48211
2016;Amazonas;1301001;CARAUARI;844416
2016;Amazonas;1301100;CAREIRO;574320
2016;Amazonas;1301159;CAREIRO DA VARZEA;116019
2016;Amazonas;1301209;COARI;1167151
2016;Amazonas;1301308;CODAJAS;172343
2016;Amazonas;1301407;EIRUNEPE;747597
2016;Amazonas;1301506;ENVIRA;376639
2016;Amazonas;1301605;FONTE BOA;179605
2016;Amazonas;1301654;GUAJARA;333212
2016;Amazonas;1301704;HUMAITA;1007758
2016;Amazonas;1301803;IPIXUNA;179480
2016;Amazonas;1301852;IRANDUBA;1355555
2016;Amazonas;1301902;ITACOATIARA;1862708
2016;Amazonas;1301951;ITAMARATI;138384
2016;Amazonas;1302009;ITAPIRANGA;270763
2016;Amazonas;1302108;JAPURA;135804
2016;Amazonas;1302207;JURUA;243238
2016;Amazonas;1302306;JUTAI;382769
2016;Amazonas;1302405;LABREA;937227
2016;Amazonas;1302504;MANACAPURU;2000651
2016;Amazonas;1302553;MANAQUIRI;166238
2016;Amazonas;1302603;MANAUS;63726818
2016;Amazonas;1302702;MANICORE;812024
2016;Amazonas;1302801;MARAA;21978
2016;Amazonas;1302900;MAUES;718359
2016;Amazonas;1303007;NHAMUNDA;333394
2016;Amazonas;1303106;NOVA OLINDA DO NORTE;521155
