ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2017;Acre ;1200013;ACRELANDIA;509725
2017;Acre ;1200054;ASSIS BRASIL;183271
2017;Acre ;1200104;BRASILEIA;677594
2017;Acre ;1200138;BUJARI;248714
2017;Acre ;1200179;CAPIXABA;238747
2017;Acre ;1200203;CRUZEIRO DO SUL;1819988
2017;Acre ;1200252;EPITACIOLANDIA;429982
2017;Acre ;1200302;FEIJO;568379
2017;Acre ;1200328;JORDAO;69760
2017;Acre ;1200336;MANCIO LIMA;363470
2017;Acre ;1200344;MANOEL URBANO;234177
2017;Acre ;1200351;MARECHAL THAUMATURGO;33303
2017;Acre ;1200385;PLACIDO DE CASTRO;406421
2017;Acre ;1200807;PORTO ACRE;440143
2017;Acre ;1200393;PORTO WALTER;99190
2017;Acre ;1200401;RIO BRANCO;11286746
2017;Acre ;1200427;RODRIGUES ALVES;159110
2017;Acre ;1200435;SANTA ROSA DO PURUS;19540
2017;Acre ;1200500;SENA MADUREIRA;963598
2017;Acre ;1200450;SENADOR GUIOMARD;462769
2017;Acre ;1200609;TARAUACA;759949
2017;Acre ;1200708;XAPURI;386355
2017;Alagoas ;2700102;AGUA BRANCA;203112
2017;Alagoas ;2700201;ANADIA;390228
2017;Alagoas ;2700300;ARAPIRACA;18205560
2017;Alagoas ;2700409;ATALAIA;2467963
2017;Alagoas ;2700508;BARRA DE SANTO ANTONIO;343475
2017;Alagoas ;2700607;BARRA DE SAO MIGUEL;169237
2017;Alagoas ;2700706;BATALHA;562914
2017;Alagoas ;2701001;BOCA DA MATA;491205
2017;Alagoas ;2701100;BRANQUINHA;50895
2017;Alagoas ;2701209;CACIMBINHAS;186228
2017;Alagoas ;2701308;CAJUEIRO;187601
2017;Alagoas ;2701357;CAMPESTRE;164042
2017;Alagoas ;2701407;CAMPO ALEGRE;187964
2017;Alagoas ;2701506;CAMPO GRANDE;351403
2017;Alagoas ;2701605;CANAPI;302319
2017;Alagoas ;2701704;CAPELA;202304
2017;Alagoas ;2701803;CARNEIROS;140569
2017;Alagoas ;2701902;CHA PRETA;10114
2017;Alagoas ;2702009;COITE DO NOIA;52207
2017;Alagoas ;2702108;COLONIA LEOPOLDINA;424606
2017;Alagoas ;2702207;COQUEIRO SECO;32216
2017;Alagoas ;2702306;CORURIPE;1183151
2017;Alagoas ;2702355;CRAIBAS;522678
2017;Alagoas ;2702405;DELMIRO GOUVEIA;2002725
2017;Alagoas ;2702504;DOIS RIACHOS;247806
2017;Alagoas ;2702603;FEIRA GRANDE;253877
2017;Alagoas ;2702702;FELIZ DESERTO;32474
2017;Alagoas ;2702801;FLEXEIRAS;55601
2017;Alagoas ;2702900;GIRAU DO PONCIANO;559053
2017;Alagoas ;2703007;IBATEGUARA;238220
2017;Alagoas ;2703304;INHAPI;31291
2017;Alagoas ;2703502;JACUIPE;78806
2017;Alagoas ;2703601;JAPARATINGA;294177
2017;Alagoas ;2703759;JEQUIA DA PRAIA;261692
2017;Alagoas ;2703809;JOAQUIM GOMES;388539
2017;Alagoas ;2703908;JUNDIA;7371
2017;Alagoas ;2704005;JUNQUEIRO;55164
2017;Alagoas ;2704104;LAGOA DA CANOA;320723
2017;Alagoas ;2704203;LIMOEIRO DE ANADIA;516868
2017;Alagoas ;2704302;MACEIO;35975957
2017;Alagoas ;2704401;MAJOR ISIDORO;218686
2017;Alagoas ;2704500;MARAGOGI;985985
2017;Alagoas ;2704609;MARAVILHA;270959
2017;Alagoas ;2704708;MARECHAL DEODORO;1420938
2017;Alagoas ;2704807;MARIBONDO;230870
2017;Alagoas ;2705002;MATA GRANDE;231205
2017;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;636612
2017;Alagoas ;2705200;MESSIAS;658591
2017;Alagoas ;2705408;MONTEIROPOLIS;36270
2017;Alagoas ;2705507;MURICI;661408
2017;Alagoas ;2705606;NOVO LINO;1300
2017;Alagoas ;2705705;OLHO D'AGUA DAS FLORES;485544
2017;Alagoas ;2706000;OLIVENCA;88686
2017;Alagoas ;2706307;PALMEIRA DOS INDIOS;2691841
2017;Alagoas ;2706406;PAO DE ACUCAR;684605
2017;Alagoas ;2706422;PARICONHA;298584
2017;Alagoas ;2706448;PARIPUEIRA;34499
2017;Alagoas ;2706505;PASSO DE CAMARAGIBE;153009
2017;Alagoas ;2706703;PENEDO;1800163
2017;Alagoas ;2706802;PIACABUCU;1263554
2017;Alagoas ;2706901;PILAR;669602
2017;Alagoas ;2707107;PIRANHAS;235600
2017;Alagoas ;2707206;POCO DAS TRINCHEIRAS;113360
2017;Alagoas ;2707305;PORTO CALVO;723001
2017;Alagoas ;2707404;PORTO DE PEDRAS;59940
2017;Alagoas ;2707503;PORTO REAL DO COLEGIO;69174
2017;Alagoas ;2707602;QUEBRANGULO;14521
