ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2013;Acre ;1200013;ACRELANDIA;506315
2013;Acre ;1200054;ASSIS BRASIL;169538
2013;Acre ;1200104;BRASILEIA;374117
2013;Acre ;1200138;BUJARI;218466
2013;Acre ;1200179;CAPIXABA;217219
2013;Acre ;1200203;CRUZEIRO DO SUL;1955058
2013;Acre ;1200252;EPITACIOLANDIA;809215
2013;Acre ;1200302;FEIJO;493950
2013;Acre ;1200328;JORDAO;23710
2013;Acre ;1200336;MANCIO LIMA;193048
2013;Acre ;1200344;MANOEL URBANO;209971
2013;Acre ;1200351;MARECHAL THAUMATURGO;28405
2013;Acre ;1200385;PLACIDO DE CASTRO;287292
2013;Acre ;1200807;PORTO ACRE;473448
2013;Acre ;1200393;PORTO WALTER;116090
2013;Acre ;1200401;RIO BRANCO;10356510
2013;Acre ;1200427;RODRIGUES ALVES;104030
2013;Acre ;1200435;SANTA ROSA;16835
2013;Acre ;1200435;SANTA ROSA DO PURUS;14040
2013;Acre ;1200500;SENA MADUREIRA;857770
2013;Acre ;1200450;SENADOR GUIOMARD;388893
2013;Acre ;1200609;TARAUACA;633775
2013;Acre ;1200708;XAPURI;355947
2013;Alagoas ;2700102;AGUA BRANCA;177125
2013;Alagoas ;2700201;ANADIA;432145
2013;Alagoas ;2700300;ARAPIRACA;16151343
2013;Alagoas ;2700409;ATALAIA;3611451
2013;Alagoas ;2700508;BARRA DE SANTO ANTONIO;285116
2013;Alagoas ;2700607;BARRA DE SAO MIGUEL;51887
2013;Alagoas ;2700706;BATALHA;736137
2013;Alagoas ;2701001;BOCA DA MATA;670422
2013;Alagoas ;2701100;BRANQUINHA;219778
2013;Alagoas ;2701209;CACIMBINHAS;328523
2013;Alagoas ;2701308;CAJUEIRO;300895
2013;Alagoas ;2701357;CAMPESTRE;180505
2013;Alagoas ;2701407;CAMPO ALEGRE;61692
2013;Alagoas ;2701506;CAMPO GRANDE;586261
2013;Alagoas ;2701605;CANAPI;284817
2013;Alagoas ;2701704;CAPELA;438223
2013;Alagoas ;2701803;CARNEIROS;206076
2013;Alagoas ;2702108;COLONIA LEOPOLDINA;621842
2013;Alagoas ;2702207;COQUEIRO SECO;117689
2013;Alagoas ;2702306;CORURIPE;911515
2013;Alagoas ;2702355;CRAIBAS;442104
2013;Alagoas ;2702405;DELMIRO GOUVEIA;2369132
2013;Alagoas ;2702504;DOIS RIACHOS;297323
2013;Alagoas ;2702553;ESTRELA DE ALAGOAS;1560
2013;Alagoas ;2702603;FEIRA GRANDE;235581
2013;Alagoas ;2702702;FELIZ DESERTO;26078
2013;Alagoas ;2702801;FLEXEIRAS;133562
2013;Alagoas ;2702900;GIRAU DO PONCIANO;1073241
2013;Alagoas ;2703007;IBATEGUARA;238147
2013;Alagoas ;2703106;IGACI;269503
2013;Alagoas ;2703205;IGREJA NOVA;192707
2013;Alagoas ;2703304;INHAPI;655778
2013;Alagoas ;2703502;JACUIPE;100100
2013;Alagoas ;2703601;JAPARATINGA;41492
2013;Alagoas ;2703700;JARAMATAIA;131365
2013;Alagoas ;2703759;JEQUIA DA PRAIA;301366
2013;Alagoas ;2703809;JOAQUIM GOMES;309712
2013;Alagoas ;2703908;JUNDIA;483002
2013;Alagoas ;2704005;JUNQUEIRO;398295
2013;Alagoas ;2704104;LAGOA DA CANOA;24310
2013;Alagoas ;2704203;LIMOEIRO DE ANADIA;140091
2013;Alagoas ;2704302;MACEIO;27735004
2013;Alagoas ;2704401;MAJOR ISIDORO;163007
2013;Alagoas ;2704500;MARAGOGI;558264
2013;Alagoas ;2704609;MARAVILHA;304902
2013;Alagoas ;2704708;MARECHAL DEODORO;1829890
2013;Alagoas ;2704807;MARIBONDO;346684
2013;Alagoas ;2705002;MATA GRANDE;178126
2013;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;699408
2013;Alagoas ;2705200;MESSIAS;346815
2013;Alagoas ;2705408;MONTEIROPOLIS;5850
2013;Alagoas ;2705507;MURICI;328648
2013;Alagoas ;2705606;NOVO LINO;99307
2013;Alagoas ;2705705;OLHO D AGUA DAS FLORES;303329
2013;Alagoas ;2706000;OLIVENCA;239577
2013;Alagoas ;2706109;OURO BRANCO;393068
2013;Alagoas ;2706307;PALMEIRA DOS INDIOS;2675502
2013;Alagoas ;2706406;PAO DE ACUCAR;689455
2013;Alagoas ;2706422;PARICONHA;116454
2013;Alagoas ;2706448;PARIPUEIRA;437869
2013;Alagoas ;2706505;PASSO DE CAMARAGIBE;77796
2013;Alagoas ;2706604;PAULO JACINTO;53326
2013;Alagoas ;2706703;PENEDO;1898284
2013;Alagoas ;2706802;PIACABUCU;959413
2013;Alagoas ;2706901;PILAR;702135
2013;Alagoas ;2707107;PIRANHAS;235846
2013;Alagoas ;2707206;POCO DAS TRINCHEIRAS;191360
2013;Alagoas ;2707305;PORTO CALVO;916594
2013;Alagoas ;2707404;PORTO DE PEDRAS;85060
2013;Alagoas ;2707503;PORTO REAL DO COLEGIO;278094
2013;Alagoas ;2707602;QUEBRANGULO;710073
2013;Alagoas ;2707701;RIO LARGO;1681570
2013;Alagoas ;2707800;ROTEIRO;5309
2013;Alagoas ;2707909;SANTA LUZIA DO NORTE;193287
2013;Alagoas ;2708006;SANTANA DO IPANEMA;652010
2013;Alagoas ;2708105;SANTANA DO MUNDAU;102037
2013;Alagoas ;2708303;SAO JOSE DA LAJE;338648
2013;Alagoas ;2708402;SAO JOSE DA TAPERA;352141
2013;Alagoas ;2708501;SAO LUIS DO QUITUNDE;835645
2013;Alagoas ;2708600;SAO MIGUEL DOS CAMPOS;2110640
2013;Alagoas ;2708709;SAO MIGUEL DOS MILAGRES;140492
2013;Alagoas ;2708808;SAO SEBASTIAO;2854124
2013;Alagoas ;2708907;SATUBA;124930
2013;Alagoas ;2708956;SENADOR RUI PALMEIRA;93717
2013;Alagoas ;2709103;TAQUARANA;559390
2013;Alagoas ;2709152;TEOTONIO VILELA;594140
2013;Alagoas ;2709202;TRAIPU;267631
2013;Alagoas ;2709301;UNIAO DOS PALMARES;2292273
2013;Alagoas ;2709400;VICOSA;1095092
2013;Amazonas;1300029;ALVARAES;160400
2013;Amazonas;1300060;AMATURA;103676
2013;Amazonas;1300086;ANAMA;189016
2013;Amazonas;1300102;ANORI;208283
2013;Amazonas;1300144;APUI;211343
2013;Amazonas;1300300;AUTAZES;672858
2013;Amazonas;1300409;BARCELOS;238389
2013;Amazonas;1300508;BARREIRINHA;261198
2013;Amazonas;1300607;BENJAMIN CONSTANT;673441
2013;Amazonas;1300631;BERURI;200323
2013;Amazonas;1300680;BOA VISTA DO RAMOS;23678
2013;Amazonas;1300706;BOCA DO ACRE;566866
2013;Amazonas;1300805;BORBA;466481
2013;Amazonas;1300839;CAAPIRANGA;148101
2013;Amazonas;1300904;CANUTAMA;113566
2013;Amazonas;1301001;CARAUARI;657609
2013;Amazonas;1301100;CAREIRO;479620
2013;Amazonas;1301159;CAREIRO DA VARZEA;84174
2013;Amazonas;1301209;COARI;1416465
2013;Amazonas;1301308;CODAJAS;324555
2013;Amazonas;1301407;EIRUNEPE;816626
2013;Amazonas;1301506;ENVIRA;255823
2013;Amazonas;1301605;FONTE BOA;189263
2013;Amazonas;1301654;GUAJARA;201660
2013;Amazonas;1301704;HUMAITA;898337
2013;Amazonas;1301803;IPIXUNA;198185
2013;Amazonas;1301852;IRANDUBA;1669256
2013;Amazonas;1301902;ITACOATIARA;1982273
2013;Amazonas;1301951;ITAMARATI;93034
2013;Amazonas;1302009;ITAPIRANGA;24350
2013;Amazonas;1302108;JAPURA;108754
2013;Amazonas;1302207;JURUA;200797
2013;Amazonas;1302306;JUTAI;251805
2013;Amazonas;1302405;LABREA;847152
2013;Amazonas;1302504;MANACAPURU;1866166
2013;Amazonas;1302553;MANAQUIRI;142254
2013;Amazonas;1302603;MANAUS;77502237
2013;Amazonas;1302702;MANICORE;712163
2013;Amazonas;1302801;MARAA;50551
2013;Amazonas;1302900;MAUES;600028
2013;Amazonas;1303007;NHAMUNDA;219560
2013;Amazonas;1303106;NOVA OLINDA DO NORTE;521424
2013;Amazonas;1303205;NOVO AIRAO;266591
2013;Amazonas;1303304;NOVO ARIPUANA;268525
2013;Amazonas;1303403;PARINTINS;2332756
2013;Amazonas;1303502;PAUINI;218476
2013;Amazonas;1303536;PRESIDENTE FIGUEIREDO;842855
2013;Amazonas;1303569;RIO PRETO DA EVA;494565
2013;Amazonas;1303601;SANTA ISABEL DO RIO NEGRO;139510
2013;Amazonas;1303700;SANTO ANTONIO DO ICA;296100
2013;Amazonas;1303809;SAO GABRIEL DA CACHOEIRA;474454
2013;Amazonas;1303908;SAO PAULO DE OLIVENCA;296300
2013;Amazonas;1304005;SILVES;373547
2013;Amazonas;1304062;TABATINGA;2002184
2013;Amazonas;1304104;TAPAUA;168322
2013;Amazonas;1304203;TEFE;1727667
2013;Amazonas;1304237;TONANTINS;220251
2013;Amazonas;1304260;UARINI;153958
2013;Amazonas;1304302;URUCARA;222565
2013;Amazonas;1304401;URUCURITUBA;194735
2013;Amapá ;1600204;CALCOENE;82615
2013;Amapá ;1600238;FERREIRA GOMES;33000
2013;Amapá ;1600279;LARANJAL DO JARI;1011436
2013;Amapá ;1600303;MACAPA;12220999
2013;Amapá ;1600402;MAZAGAO;141116
2013;Amapá ;1600501;OIAPOQUE;539654
2013;Amapá ;1600154;PEDRA BRANCA DO AMAPARI;134755
2013;Amapá ;1600535;PORTO GRANDE;77099
2013;Amapá ;1600600;SANTANA;1957604
2013;Amapá ;1600709;TARTARUGALZINHO;7150
2013;Amapá ;1600808;VITORIA DO JARI;204160
2013;Bahia;2900207;ABARE;70179
2013;Bahia;2900306;ACAJUTIBA;288399
2013;Bahia;2900355;ADUSTINA;220116
2013;Bahia;2900405;AGUA FRIA;263173
2013;Bahia;2900702;ALAGOINHAS;8105832
2013;Bahia;2900801;ALCOBACA;172383
2013;Bahia;2900900;ALMADINA;64684
2013;Bahia;2901007;AMARGOSA;1598574
2013;Bahia;2901106;AMELIA RODRIGUES;930263
2013;Bahia;2901205;ANAGE;132236
2013;Bahia;2901304;ANDARAI;187917
2013;Bahia;2901353;ANDORINHA;180445
2013;Bahia;2901403;ANGICAL;237060
2013;Bahia;2901601;ANTAS;93600
2013;Bahia;2901700;ANTONIO CARDOSO;165520
2013;Bahia;2901957;APUAREMA;190190
