ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2014;Acre ;1200013;ACRELANDIA;459520
2014;Acre ;1200054;ASSIS BRASIL;180428
2014;Acre ;1200104;BRASILEIA;422109
2014;Acre ;1200138;BUJARI;232656
2014;Acre ;1200179;CAPIXABA;225756
2014;Acre ;1200203;CRUZEIRO DO SUL;2062956
2014;Acre ;1200252;EPITACIOLANDIA;746107
2014;Acre ;1200302;FEIJO;539148
2014;Acre ;1200328;JORDAO;47750
2014;Acre ;1200336;MANCIO LIMA;252731
2014;Acre ;1200344;MANOEL URBANO;217730
2014;Acre ;1200351;MARECHAL THAUMATURGO;46800
2014;Acre ;1200385;PLACIDO DE CASTRO;321398
2014;Acre ;1200807;PORTO ACRE;470700
2014;Acre ;1200393;PORTO WALTER;139776
2014;Acre ;1200401;RIO BRANCO;10608632
2014;Acre ;1200427;RODRIGUES ALVES;115765
2014;Acre ;1200435;SANTA ROSA DO PURUS;32065
2014;Acre ;1200500;SENA MADUREIRA;873406
2014;Acre ;1200450;SENADOR GUIOMARD;444336
2014;Acre ;1200609;TARAUACA;766056
2014;Acre ;1200708;XAPURI;385013
2014;Alagoas ;2700102;AGUA BRANCA;171288
2014;Alagoas ;2700201;ANADIA;517250
2014;Alagoas ;2700300;ARAPIRACA;15886000
2014;Alagoas ;2700409;ATALAIA;2336912
2014;Alagoas ;2700508;BARRA DE SANTO ANTONIO;330213
2014;Alagoas ;2700607;BARRA DE SAO MIGUEL;76520
2014;Alagoas ;2700706;BATALHA;771750
2014;Alagoas ;2701001;BOCA DA MATA;568137
2014;Alagoas ;2701100;BRANQUINHA;261027
2014;Alagoas ;2701209;CACIMBINHAS;347857
2014;Alagoas ;2701308;CAJUEIRO;381641
2014;Alagoas ;2701357;CAMPESTRE;186576
2014;Alagoas ;2701407;CAMPO ALEGRE;293351
2014;Alagoas ;2701506;CAMPO GRANDE;689559
2014;Alagoas ;2701605;CANAPI;326196
2014;Alagoas ;2701704;CAPELA;527768
2014;Alagoas ;2701803;CARNEIROS;237016
2014;Alagoas ;2702009;COITE DO NOIA;37817
2014;Alagoas ;2702108;COLONIA LEOPOLDINA;720329
2014;Alagoas ;2702207;COQUEIRO SECO;109187
2014;Alagoas ;2702306;CORURIPE;1264630
2014;Alagoas ;2702355;CRAIBAS;398770
2014;Alagoas ;2702405;DELMIRO GOUVEIA;2380980
2014;Alagoas ;2702504;DOIS RIACHOS;309699
2014;Alagoas ;2702603;FEIRA GRANDE;265720
2014;Alagoas ;2702702;FELIZ DESERTO;46605
2014;Alagoas ;2702801;FLEXEIRAS;55484
2014;Alagoas ;2702900;GIRAU DO PONCIANO;1111588
2014;Alagoas ;2703007;IBATEGUARA;193765
2014;Alagoas ;2703106;IGACI;36588
2014;Alagoas ;2703205;IGREJA NOVA;116532
2014;Alagoas ;2703304;INHAPI;597623
2014;Alagoas ;2703502;JACUIPE;125190
2014;Alagoas ;2703601;JAPARATINGA;182113
2014;Alagoas ;2703700;JARAMATAIA;80028
2014;Alagoas ;2703759;JEQUIA DA PRAIA;354159
2014;Alagoas ;2703809;JOAQUIM GOMES;732332
2014;Alagoas ;2703908;JUNDIA;501761
2014;Alagoas ;2704005;JUNQUEIRO;217638
2014;Alagoas ;2704104;LAGOA DA CANOA;170404
2014;Alagoas ;2704203;LIMOEIRO DE ANADIA;58746
2014;Alagoas ;2704302;MACEIO;28542235
2014;Alagoas ;2704401;MAJOR ISIDORO;206882
2014;Alagoas ;2704500;MARAGOGI;659569
2014;Alagoas ;2704609;MARAVILHA;436215
2014;Alagoas ;2704708;MARECHAL DEODORO;1812951
2014;Alagoas ;2704807;MARIBONDO;221806
2014;Alagoas ;2705002;MATA GRANDE;246331
2014;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;821326
2014;Alagoas ;2705200;MESSIAS;588306
2014;Alagoas ;2705408;MONTEIROPOLIS;44174
2014;Alagoas ;2705507;MURICI;278191
2014;Alagoas ;2705606;NOVO LINO;81796
2014;Alagoas ;2705705;OLHO D AGUA DAS FLORES;350623
2014;Alagoas ;2706000;OLIVENCA;246818
2014;Alagoas ;2706109;OURO BRANCO;534846
2014;Alagoas ;2706307;PALMEIRA DOS INDIOS;3033781
2014;Alagoas ;2706406;PAO DE ACUCAR;687519
2014;Alagoas ;2706422;PARICONHA;156676
2014;Alagoas ;2706448;PARIPUEIRA;47219
2014;Alagoas ;2706505;PASSO DE CAMARAGIBE;38027
2014;Alagoas ;2706604;PAULO JACINTO;0
2014;Alagoas ;2706703;PENEDO;1924542
2014;Alagoas ;2706802;PIACABUCU;707788
2014;Alagoas ;2706901;PILAR;769718
2014;Alagoas ;2707107;PIRANHAS;256490
2014;Alagoas ;2707206;POCO DAS TRINCHEIRAS;292500
2014;Alagoas ;2707305;PORTO CALVO;920272
2014;Alagoas ;2707404;PORTO DE PEDRAS;80745
2014;Alagoas ;2707503;PORTO REAL DO COLEGIO;28442
2014;Alagoas ;2707602;QUEBRANGULO;2650193
2014;Alagoas ;2707701;RIO LARGO;1499540
2014;Alagoas ;2707800;ROTEIRO;8220
2014;Alagoas ;2707909;SANTA LUZIA DO NORTE;188928
2014;Alagoas ;2708006;SANTANA DO IPANEMA;663367
2014;Alagoas ;2708105;SANTANA DO MUNDAU;103831
