ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2015;Acre ;1200013;ACRELANDIA;408602
2015;Acre ;1200054;ASSIS BRASIL;194570
2015;Acre ;1200104;BRASILEIA;507226
2015;Acre ;1200138;BUJARI;252032
2015;Acre ;1200179;CAPIXABA;231409
2015;Acre ;1200203;CRUZEIRO DO SUL;2115406
2015;Acre ;1200252;EPITACIOLANDIA;690458
2015;Acre ;1200302;FEIJO;620011
2015;Acre ;1200328;JORDAO;92569
2015;Acre ;1200336;MANCIO LIMA;267517
2015;Acre ;1200344;MANOEL URBANO;228643
2015;Acre ;1200351;MARECHAL THAUMATURGO;42250
2015;Acre ;1200385;PLACIDO DE CASTRO;428435
2015;Acre ;1200807;PORTO ACRE;494416
2015;Acre ;1200393;PORTO WALTER;136240
2015;Acre ;1200401;RIO BRANCO;10855571
2015;Acre ;1200427;RODRIGUES ALVES;117350
2015;Acre ;1200435;SANTA ROSA DO PURUS;28579
2015;Acre ;1200500;SENA MADUREIRA;914547
2015;Acre ;1200450;SENADOR GUIOMARD;524716
2015;Acre ;1200609;TARAUACA;659122
2015;Acre ;1200708;XAPURI;386022
2015;Alagoas ;2700102;AGUA BRANCA;156416
2015;Alagoas ;2700201;ANADIA;610422
2015;Alagoas ;2700300;ARAPIRACA;16024466
2015;Alagoas ;2700409;ATALAIA;1897245
2015;Alagoas ;2700508;BARRA DE SANTO ANTONIO;314445
2015;Alagoas ;2700607;BARRA DE SAO MIGUEL;139221
2015;Alagoas ;2700706;BATALHA;735606
2015;Alagoas ;2701001;BOCA DA MATA;512689
2015;Alagoas ;2701100;BRANQUINHA;268008
2015;Alagoas ;2701209;CACIMBINHAS;267027
2015;Alagoas ;2701308;CAJUEIRO;209099
2015;Alagoas ;2701357;CAMPESTRE;189203
2015;Alagoas ;2701407;CAMPO ALEGRE;217550
2015;Alagoas ;2701506;CAMPO GRANDE;909857
2015;Alagoas ;2701605;CANAPI;322322
2015;Alagoas ;2701704;CAPELA;568486
2015;Alagoas ;2701803;CARNEIROS;210184
2015;Alagoas ;2701902;CHA PRETA;43238
2015;Alagoas ;2702009;COITE DO NOIA;67559
2015;Alagoas ;2702108;COLONIA LEOPOLDINA;679682
2015;Alagoas ;2702207;COQUEIRO SECO;89050
2015;Alagoas ;2702306;CORURIPE;1402726
2015;Alagoas ;2702355;CRAIBAS;422221
2015;Alagoas ;2702405;DELMIRO GOUVEIA;2158545
2015;Alagoas ;2702504;DOIS RIACHOS;310830
2015;Alagoas ;2702603;FEIRA GRANDE;279305
2015;Alagoas ;2702702;FELIZ DESERTO;72319
2015;Alagoas ;2702801;FLEXEIRAS;72436
2015;Alagoas ;2702900;GIRAU DO PONCIANO;982755
2015;Alagoas ;2703007;IBATEGUARA;207415
2015;Alagoas ;2703106;IGACI;70874
2015;Alagoas ;2703205;IGREJA NOVA;10361
2015;Alagoas ;2703304;INHAPI;96956
2015;Alagoas ;2703502;JACUIPE;148291
2015;Alagoas ;2703601;JAPARATINGA;198348
2015;Alagoas ;2703700;JARAMATAIA;70629
2015;Alagoas ;2703759;JEQUIA DA PRAIA;303133
2015;Alagoas ;2703809;JOAQUIM GOMES;567986
2015;Alagoas ;2703908;JUNDIA;458926
2015;Alagoas ;2704005;JUNQUEIRO;139102
2015;Alagoas ;2704104;LAGOA DA CANOA;209560
2015;Alagoas ;2704203;LIMOEIRO DE ANADIA;176923
2015;Alagoas ;2704302;MACEIO;30388172
2015;Alagoas ;2704401;MAJOR ISIDORO;249717
2015;Alagoas ;2704500;MARAGOGI;876805
2015;Alagoas ;2704609;MARAVILHA;459758
2015;Alagoas ;2704708;MARECHAL DEODORO;1913530
2015;Alagoas ;2704807;MARIBONDO;210366
2015;Alagoas ;2705002;MATA GRANDE;234884
2015;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;699826
2015;Alagoas ;2705200;MESSIAS;1074160
2015;Alagoas ;2705408;MONTEIROPOLIS;58422
2015;Alagoas ;2705507;MURICI;308045
2015;Alagoas ;2705606;NOVO LINO;89752
2015;Alagoas ;2705705;OLHO D AGUA DAS FLORES;354276
2015;Alagoas ;2706000;OLIVENCA;218036
2015;Alagoas ;2706109;OURO BRANCO;232934
2015;Alagoas ;2706307;PALMEIRA DOS INDIOS;2534126
